Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow
11/9/2016,37.375999,38.400002,36.790001,38.012001,38.012001,40865500,37.07
11/10/2016,38.209999,38.321999,36.084,37.07,37.07,33751500,37.712002
11/11/2016,36.848,37.776001,36.599998,37.712002,37.712002,19942500,36.290001
11/14/2016,37.599998,37.650002,35.638,36.290001,36.290001,32761000,36.754002
11/15/2016,36.556,37.285999,36.41,36.754002,36.754002,19510000,36.785999
11/16/2016,36.529999,36.945999,36.242001,36.785999,36.785999,17172000,37.731998
11/17/2016,36.698002,37.897999,36.422001,37.731998,37.731998,24435500,37.004002
11/18/2016,38.130001,38.599998,37,37.004002,37.004002,26051500,36.903999
11/21/2016,37.007999,37.778,36.882,36.903999,36.903999,21805000,38.234001
11/22/2016,37.167999,38.293999,36.742001,38.234001,38.234001,28017000,38.627998
11/23/2016,38.122002,39.127998,37.799999,38.627998,38.627998,24459500,39.330002
11/25/2016,38.728001,39.448002,38.728001,39.330002,39.330002,11830500,39.223999
11/28/2016,39.096001,39.869999,38.91,39.223999,39.223999,22646000,37.914001
11/29/2016,39.112,39.346001,37.900002,37.914001,37.914001,22196500,37.880001
11/30/2016,38.200001,38.377998,37.5,37.880001,37.880001,17735500,36.375999
12/1/2016,37.650002,37.706001,36.200001,36.375999,36.375999,25632000,36.293999
12/2/2016,36.576,36.976002,36,36.293999,36.293999,20211500,37.360001
12/5/2016,36.501999,37.778,36.501999,37.360001,37.360001,20361000,37.169998
12/6/2016,37.104,37.316002,36.535999,37.169998,37.169998,16958000,38.630001
12/7/2016,37.23,38.68,37,38.630001,38.630001,27309500,38.458
12/8/2016,38.41,38.5,37.908001,38.458,38.458,15970500,38.436001
12/9/2016,38.174,38.768002,38.161999,38.436001,38.436001,13612500,38.486
12/12/2016,38.560001,38.883999,38.236,38.486,38.486,12194500,39.630001
12/13/2016,38.636002,40.256001,38.599998,39.630001,39.630001,34119500,39.737999
12/14/2016,39.748001,40.599998,39.352001,39.737999,39.737999,20754500,39.515999
12/15/2016,39.681999,40.147999,39.478001,39.515999,39.515999,16098000,40.498001
12/16/2016,39.616001,40.518002,39.52,40.498001,40.498001,18984500,40.546001
12/19/2016,40.498001,40.889999,39.967999,40.546001,40.546001,17440500,41.757999
12/20/2016,40.610001,41.799999,40.5,41.757999,41.757999,23445500,41.540001
12/21/2016,41.689999,42.445999,41.481998,41.540001,41.540001,26038000,41.689999
12/22/2016,41.644001,41.998001,41.299999,41.689999,41.689999,15555500,42.667999
12/23/2016,41.599998,42.689999,41.542,42.667999,42.667999,23352500,43.905998
12/27/2016,42.976002,44.450001,42.883999,43.905998,43.905998,29578500,43.948002
12/28/2016,44.306,44.759998,43.439999,43.948002,43.948002,18912500,42.936001
12/29/2016,43.712002,43.84,42.824001,42.936001,42.936001,20225000,42.737999
12/30/2016,43.259998,43.5,42.335999,42.737999,42.737999,23213000,43.397999
1/3/2017,42.972,44.066002,42.192001,43.397999,43.397999,29616500,45.397999
1/4/2017,42.950001,45.599998,42.862,45.397999,45.397999,56067500,45.349998
1/5/2017,45.284,45.495998,44.389999,45.349998,45.349998,29558500,45.801998
1/6/2017,45.386002,46.062,45.09,45.801998,45.801998,27639500,46.256001
1/9/2017,45.793999,46.383999,45.599998,46.256001,46.256001,19897500,45.973999
1/10/2017,46.400002,46.400002,45.377998,45.973999,45.973999,18300000,45.945999
1/11/2017,45.813999,45.995998,45.335999,45.945999,45.945999,18254000,45.917999
1/12/2017,45.812,46.139999,45.116001,45.917999,45.917999,18951000,47.549999
1/13/2017,46,47.57,45.917999,47.549999,47.549999,30465000,47.116001
1/17/2017,47.34,47.992001,46.874001,47.116001,47.116001,23087500,47.672001
1/18/2017,47.330002,47.942001,47.116001,47.672001,47.672001,18845000,48.751999
1/19/2017,49.450001,49.736,48.150002,48.751999,48.751999,38661500,48.945999
1/20/2017,49.091999,49.200001,48.602001,48.945999,48.945999,21021500,49.784
1/23/2017,49.169998,50.178001,49.099998,49.784,49.784,31314500,50.922001
1/24/2017,50,50.959999,49.93,50.922001,50.922001,24827500,50.894001
1/25/2017,51.462002,51.692001,50.360001,50.894001,50.894001,25713000,50.501999
1/26/2017,50.858002,51.147999,50.150002,50.501999,50.501999,15760500,50.59
1/27/2017,50.276001,50.599998,49.703999,50.59,50.59,15831500,50.125999
1/30/2017,50.506001,51.057999,49.419998,50.125999,50.125999,19005500,50.386002
1/31/2017,49.848,51.178001,49.540001,50.386002,50.386002,20580500,49.848
2/1/2017,50.610001,50.639999,49.810001,49.848,49.848,19794000,50.310001
2/2/2017,49.667999,50.484001,49.542,50.310001,50.310001,12499000,50.265999
2/3/2017,50.382,50.436001,49.936001,50.265999,50.265999,10933500,51.554001
2/6/2017,50.200001,51.563999,50.125999,51.554001,51.554001,17812500,51.495998
2/7/2017,51.638,52,51.284,51.495998,51.495998,21224000,52.416
2/8/2017,51.470001,52.672001,51.240002,52.416,52.416,19665000,53.84
2/9/2017,53.25,54.236,53.23,53.84,53.84,39101000,53.846001
2/10/2017,53.958,54.189999,53.222,53.846001,53.846001,18098500,56.119999
2/13/2017,54.147999,56.158001,54.102001,56.119999,56.119999,35148000,56.195999
2/14/2017,55.806,57.478001,55.722,56.195999,56.195999,36726000,55.952
2/15/2017,56,56.448002,55.287998,55.952,55.952,24739500,53.790001
2/16/2017,55.52,56,53.700001,53.790001,53.790001,35386500,54.445999
2/17/2017,53.16,54.577999,52.830002,54.445999,54.445999,31285500,55.478001
2/21/2017,55.09,56.279999,54.801998,55.478001,55.478001,28383500,54.702
2/22/2017,56.062,56.689999,54.52,54.702,54.702,43775000,51.198002
2/23/2017,52.799999,52.931999,51.112,51.198002,51.198002,74576000,51.400002
2/24/2017,50.532001,51.650002,50.040001,51.400002,51.400002,40858000,49.245998
2/27/2017,49.633999,49.672001,48.402,49.245998,49.245998,57304000,49.998001
2/28/2017,48.838001,50.200001,48.779999,49.998001,49.998001,30390500,50.004002
3/1/2017,50.835999,50.970001,49.821999,50.004002,50.004002,24047500,50.096001
3/2/2017,49.942001,50.655998,49.653999,50.096001,50.096001,16759000,50.313999
3/3/2017,50.147999,50.380001,49.799999,50.313999,50.313999,14597000,50.242001
3/6/2017,49.582001,50.34,49.501999,50.242001,50.242001,16777500,49.717999
3/7/2017,50.383999,50.778,49.664001,49.717999,49.717999,17297500,49.374001
3/8/2017,49.400002,50.014,49.063999,49.374001,49.374001,18626000,48.98
3/9/2017,49.526001,49.731998,48.599998,48.98,48.98,19396500,48.737999
3/10/2017,49.242001,49.299999,48.599998,48.737999,48.737999,15331500,49.234001
